Q^2 G_E^2 σ_E G_M^2 σ_M G_E/G_D G_M/(μG_D) mu^2*G_E^2/G_M^2_error
2.64 0.0018101431706 0.000143064654003 0.0174530007806 0.00011416002755 0.947173152844 1.05415328731 0.0685186278439
3.2 0.00110231637951 0.000109629606562 0.00931386425234 7.04634642875e-05 1.00690836243 1.04905332841 0.0978851453441
4.1 0.000607474628452 8.22744860596e-05 0.00394118065404 3.67984783543e-05 1.13119513158 1.03271960859 0.172807595518
