Q^2 G_E^2 σ_E G_M^2 σ_M G_E/G_D G_M/(μG_D)
2.64 0.00116601167423 0.000143369603853 0.0181443845825 0.000116802152978 0.760193874748 1.07483013589
3.2 0.000852269645243 0.000110906687097 0.00953760741677 7.18231882965e-05 0.88537107134 1.06157904007
4.1 0.000310155118475 8.31545741229e-05 0.00411309889113 3.72956347743e-05 0.808282045142 1.0550033234
